age,workclass,education,occupation,hours-per-week,income
55.0,Private,Bachelors,Exec-managerial,50,>50K
19.0,Private,HS-grad,Sales,30,<=50K
28.0,Private,Some-college,Other-service,14,<=50K
27.0,Private,11th,Other-service,32,<=50K
50.0,Private,7th-8th,Machine-op-inspct,20,<=50K
22.0,Private,11th,Craft-repair,40,<=50K
40.0,State-gov,Bachelors,Adm-clerical,45,>50K
25.0,Private,Some-college,Adm-clerical,40,<=50K
26.0,Local-gov,HS-grad,Craft-repair,40,<=50K
22.0,Private,Bachelors,Sales,25,<=50K
42.0,Private,Some-college,Handlers-cleaners,40,<=50K
38.0,Self-emp-inc,Bachelors,Exec-managerial,40,<=50K
55.0,Private,11th,Other-service,30,<=50K
32.0,Private,HS-grad,Sales,40,<=50K
22.0,Private,HS-grad,Craft-repair,45,<=50K
29.0,Private,Bachelors,Sales,40,<=50K
46.0,State-gov,Masters,Exec-managerial,45,>50K
31.0,Private,Some-college,Exec-managerial,40,>50K
58.0,Self-emp-not-inc,Doctorate,Prof-specialty,16,>50K
42.0,Private,HS-grad,Craft-repair,45,<=50K
18.0,Private,HS-grad,Handlers-cleaners,25,<=50K
58.0,Local-gov,HS-grad,Exec-managerial,33,<=50K
54.0,Private,HS-grad,Prof-specialty,40,>50K
34.0,Private,Masters,Prof-specialty,40,<=50K
26.0,Private,Bachelors,Adm-clerical,40,<=50K
61.0,Private,12th,Exec-managerial,60,<=50K
48.0,Local-gov,Masters,Adm-clerical,40,<=50K
36.0,Private,Some-college,Exec-managerial,45,>50K
24.0,Private,Assoc-voc,Machine-op-inspct,45,<=50K
40.0,Private,Some-college,Machine-op-inspct,37,<=50K
33.0,Self-emp-inc,HS-grad,Sales,50,>50K
37.0,Private,Some-college,Machine-op-inspct,40,>50K
34.0,Private,Masters,Exec-managerial,40,<=50K
56.0,Self-emp-inc,Some-college,Exec-managerial,40,>50K
28.0,Others,HS-grad,Others,38,>50K
37.0,Private,Bachelors,Exec-managerial,55,<=50K
44.0,Private,HS-grad,Sales,40,<=50K
64.0,Others,Some-college,Others,8,<=50K
54.0,Private,HS-grad,Handlers-cleaners,45,<=50K
23.0,Private,HS-grad,Machine-op-inspct,50,<=50K
34.0,State-gov,Bachelors,Farming-fishing,40,<=50K
22.0,Private,HS-grad,Other-service,45,<=50K
33.0,Private,Bachelors,Exec-managerial,40,>50K
39.0,Private,Bachelors,Prof-specialty,50,>50K
47.0,Private,Some-college,Adm-clerical,37,<=50K
78.0,Others,7th-8th,Others,40,<=50K
26.0,Private,HS-grad,Prof-specialty,55,<=50K
31.0,Private,Some-college,Exec-managerial,40,<=50K
44.0,Private,Some-college,Transport-moving,45,<=50K
42.0,Self-emp-inc,Prof-school,Prof-specialty,50,>50K
19.0,Private,HS-grad,Machine-op-inspct,40,<=50K
27.0,Private,HS-grad,Handlers-cleaners,40,>50K
51.0,Local-gov,Some-college,Protective-serv,40,>50K
28.0,Self-emp-inc,Bachelors,Exec-managerial,50,<=50K
57.0,Private,Bachelors,Craft-repair,45,<=50K
45.0,Local-gov,Bachelors,Prof-specialty,40,<=50K
50.0,Private,Assoc-voc,Prof-specialty,40,>50K
34.0,Self-emp-inc,Bachelors,Sales,54,<=50K
45.0,Private,7th-8th,Craft-repair,40,<=50K
73.0,Local-gov,HS-grad,Exec-managerial,20,<=50K
34.0,Private,Bachelors,Prof-specialty,50,>50K
31.0,Private,Some-college,Sales,55,>50K
19.0,Private,11th,Sales,12,<=50K
25.0,Private,Some-college,Other-service,50,<=50K
38.0,Federal-gov,Assoc-voc,Craft-repair,40,<=50K
39.0,Private,Bachelors,Transport-moving,40,<=50K
23.0,Private,Bachelors,Tech-support,32,<=50K
49.0,Private,HS-grad,Machine-op-inspct,40,<=50K
33.0,Federal-gov,HS-grad,Other-service,32,<=50K
31.0,Private,Assoc-voc,Craft-repair,40,<=50K
23.0,Private,Bachelors,Exec-managerial,45,<=50K
34.0,Private,Bachelors,Adm-clerical,40,<=50K
25.0,Private,HS-grad,Machine-op-inspct,40,<=50K
39.0,Private,HS-grad,Craft-repair,40,<=50K
52.0,Self-emp-inc,HS-grad,Sales,40,>50K
63.0,Local-gov,9th,Transport-moving,40,>50K
41.0,Private,Some-college,Craft-repair,40,<=50K
46.0,Private,Bachelors,Prof-specialty,38,>50K
53.0,Local-gov,HS-grad,Exec-managerial,40,<=50K
25.0,Others,9th,Others,40,<=50K
77.0,Others,Some-college,Others,35,<=50K
18.0,Private,12th,Priv-house-serv,40,<=50K
38.0,Private,Prof-school,Prof-specialty,50,<=50K
55.0,Private,Masters,Exec-managerial,50,<=50K
34.0,Private,HS-grad,Tech-support,40,>50K
78.0,Self-emp-not-inc,HS-grad,Other-service,30,<=50K
34.0,Private,Assoc-voc,Tech-support,60,<=50K
52.0,Private,Some-college,Tech-support,40,<=50K
42.0,Private,HS-grad,Other-service,28,<=50K
26.0,Private,Some-college,Sales,40,<=50K
31.0,Private,HS-grad,Transport-moving,40,<=50K
25.0,Local-gov,HS-grad,Other-service,35,<=50K
55.0,Self-emp-not-inc,HS-grad,Craft-repair,60,<=50K
19.0,Private,Some-college,Other-service,12,<=50K
62.0,Self-emp-not-inc,Some-college,Transport-moving,32,<=50K
22.0,Federal-gov,Some-college,Adm-clerical,20,<=50K
39.0,Others,HS-grad,Others,50,<=50K
35.0,Private,HS-grad,Handlers-cleaners,40,<=50K
28.0,Private,HS-grad,Sales,40,<=50K
47.0,Private,HS-grad,Transport-moving,70,>50K
44.0,State-gov,HS-grad,Machine-op-inspct,40,<=50K
21.0,Private,Some-college,Sales,15,<=50K
35.0,Private,Assoc-voc,Craft-repair,50,<=50K
24.0,Private,Bachelors,Prof-specialty,40,>50K
42.0,Federal-gov,Bachelors,Prof-specialty,40,<=50K
28.0,Private,Bachelors,Tech-support,50,<=50K
21.0,Private,Some-college,Machine-op-inspct,35,<=50K
62.0,Federal-gov,Some-college,Tech-support,40,<=50K
39.0,Private,HS-grad,Other-service,40,<=50K
30.0,State-gov,HS-grad,Other-service,40,<=50K
72.0,Self-emp-not-inc,Prof-school,Prof-specialty,20,<=50K
50.0,Private,Some-college,Exec-managerial,50,<=50K
28.0,Local-gov,Masters,Prof-specialty,40,<=50K
29.0,Private,Some-college,Prof-specialty,40,<=50K
26.0,Private,Bachelors,Adm-clerical,40,<=50K
27.0,Private,Masters,Exec-managerial,40,<=50K
29.0,Private,Some-college,Handlers-cleaners,40,>50K
61.0,Others,HS-grad,Others,40,<=50K
29.0,Private,10th,Craft-repair,25,<=50K
21.0,Others,Some-college,Others,30,<=50K
31.0,Private,11th,Sales,20,<=50K
25.0,Private,HS-grad,Exec-managerial,75,<=50K
58.0,Private,10th,Transport-moving,40,>50K
64.0,Private,Some-college,Exec-managerial,40,>50K
46.0,State-gov,Masters,Exec-managerial,38,<=50K
53.0,Others,HS-grad,Others,35,>50K
19.0,Private,HS-grad,Other-service,35,<=50K
42.0,Private,HS-grad,Other-service,52,<=50K
18.0,Private,11th,Handlers-cleaners,24,<=50K
58.0,Self-emp-inc,Bachelors,Craft-repair,50,>50K
20.0,Private,Some-college,Protective-serv,60,<=50K
35.0,Federal-gov,HS-grad,Craft-repair,40,>50K
32.0,Private,HS-grad,Handlers-cleaners,38,>50K
23.0,Private,HS-grad,Handlers-cleaners,25,<=50K
31.0,Private,Some-college,Tech-support,40,<=50K
33.0,Private,Bachelors,Sales,55,<=50K
41.0,Private,Some-college,Machine-op-inspct,48,<=50K
22.0,Private,HS-grad,Machine-op-inspct,40,<=50K
46.0,Private,Some-college,Protective-serv,40,>50K
61.0,Federal-gov,Some-college,Transport-moving,40,<=50K
30.0,Private,HS-grad,Exec-managerial,40,<=50K
42.0,Private,HS-grad,Exec-managerial,55,>50K
63.0,Private,10th,Handlers-cleaners,40,<=50K
26.0,Private,Some-college,Sales,40,<=50K
42.0,Private,10th,Adm-clerical,40,<=50K
23.0,Private,Some-college,Other-service,40,<=50K
25.0,Private,HS-grad,Machine-op-inspct,40,<=50K
30.0,Private,9th,Other-service,32,>50K
23.0,Private,HS-grad,Sales,40,<=50K
34.0,Self-emp-not-inc,Assoc-voc,Farming-fishing,60,>50K
30.0,Private,HS-grad,Machine-op-inspct,48,<=50K
39.0,Private,Some-college,Craft-repair,40,>50K
30.0,Private,11th,Handlers-cleaners,38,<=50K
38.0,Local-gov,Some-college,Adm-clerical,38,<=50K
26.0,Private,HS-grad,Exec-managerial,40,<=50K
20.0,Private,Some-college,Handlers-cleaners,16,<=50K
37.0,Local-gov,Bachelors,Prof-specialty,40,<=50K
33.0,Private,HS-grad,Adm-clerical,40,<=50K
24.0,Private,Bachelors,Adm-clerical,40,<=50K
42.0,Self-emp-inc,Bachelors,Exec-managerial,60,>50K
51.0,Self-emp-not-inc,HS-grad,Sales,84,<=50K
56.0,Local-gov,Assoc-acdm,Tech-support,45,>50K
22.0,Private,Some-college,Handlers-cleaners,40,<=50K
52.0,Self-emp-not-inc,Some-college,Farming-fishing,60,<=50K
44.0,Private,Bachelors,Exec-managerial,45,>50K
34.0,Private,HS-grad,Adm-clerical,35,<=50K
51.0,Private,Some-college,Craft-repair,42,>50K
20.0,Others,Some-college,Others,40,<=50K
19.0,Private,Some-college,Sales,25,<=50K
37.0,Private,Bachelors,Exec-managerial,40,>50K
68.0,Private,HS-grad,Machine-op-inspct,40,>50K
22.0,Private,Some-college,Protective-serv,40,<=50K
56.0,Self-emp-inc,Bachelors,Exec-managerial,40,<=50K
37.0,Private,HS-grad,Craft-repair,40,<=50K
26.0,Private,HS-grad,Handlers-cleaners,40,<=50K
33.0,Private,Masters,Prof-specialty,50,<=50K
45.0,Local-gov,Masters,Prof-specialty,42,<=50K
18.0,Private,11th,Other-service,15,<=50K
43.0,Self-emp-not-inc,Some-college,Farming-fishing,60,>50K
64.0,Self-emp-not-inc,Doctorate,Prof-specialty,50,>50K
18.0,Private,HS-grad,Handlers-cleaners,20,<=50K
20.0,Others,Some-college,Others,45,<=50K
57.0,Private,HS-grad,Craft-repair,40,>50K
41.0,Private,HS-grad,Adm-clerical,42,<=50K
34.0,Private,Masters,Exec-managerial,50,>50K
19.0,Private,HS-grad,Sales,40,<=50K
44.0,Private,9th,Other-service,55,<=50K
56.0,Private,10th,Other-service,40,<=50K
36.0,Self-emp-inc,HS-grad,Farming-fishing,80,<=50K
48.0,Private,Bachelors,Exec-managerial,48,<=50K
29.0,Private,HS-grad,Transport-moving,40,>50K
33.0,Private,Bachelors,Craft-repair,40,<=50K
39.0,Private,Masters,Prof-specialty,45,>50K
66.0,Private,HS-grad,Exec-managerial,40,>50K
27.0,Private,Bachelors,Prof-specialty,50,>50K
39.0,Private,HS-grad,Exec-managerial,40,>50K
59.0,Private,7th-8th,Craft-repair,50,>50K
26.0,Private,HS-grad,Other-service,40,<=50K
31.0,Private,Assoc-voc,Craft-repair,40,<=50K
45.0,Others,HS-grad,Others,40,<=50K
23.0,Private,HS-grad,Handlers-cleaners,30,<=50K
36.0,Local-gov,HS-grad,Adm-clerical,40,<=50K
34.0,Private,Some-college,Other-service,12,>50K
32.0,Private,HS-grad,Transport-moving,84,>50K
37.0,Private,Bachelors,Prof-specialty,50,>50K
33.0,Private,Bachelors,Sales,45,<=50K
50.0,Self-emp-not-inc,Prof-school,Prof-specialty,80,>50K
32.0,Federal-gov,Assoc-acdm,Protective-serv,40,<=50K
35.0,Private,Bachelors,Adm-clerical,40,<=50K
37.0,Private,11th,Craft-repair,40,<=50K
44.0,Private,Some-college,Craft-repair,60,<=50K
57.0,Private,Some-college,Handlers-cleaners,25,<=50K
29.0,Local-gov,Some-college,Exec-managerial,40,<=50K
55.0,Private,HS-grad,Craft-repair,50,>50K
43.0,Self-emp-inc,Prof-school,Prof-specialty,25,>50K
43.0,Private,Some-college,Sales,70,<=50K
45.0,Self-emp-not-inc,Some-college,Sales,60,>50K
33.0,Self-emp-not-inc,Masters,Prof-specialty,8,<=50K
26.0,Private,10th,Other-service,40,<=50K
23.0,Private,Some-college,Sales,68,<=50K
41.0,Private,7th-8th,Craft-repair,40,<=50K
24.0,Private,HS-grad,Craft-repair,40,<=50K
47.0,Self-emp-not-inc,Bachelors,Sales,44,<=50K
34.0,Self-emp-not-inc,HS-grad,Craft-repair,45,<=50K
40.0,Private,HS-grad,Exec-managerial,40,>50K
28.0,Private,Bachelors,Prof-specialty,40,<=50K
24.0,Private,HS-grad,Exec-managerial,40,<=50K
73.0,Others,Some-college,Others,10,<=50K
23.0,Private,HS-grad,Craft-repair,15,<=50K
43.0,Self-emp-not-inc,HS-grad,Exec-managerial,40,>50K
26.0,Private,Bachelors,Tech-support,40,<=50K
58.0,Self-emp-not-inc,Doctorate,Exec-managerial,35,>50K
52.0,Private,HS-grad,Adm-clerical,35,<=50K
29.0,Private,11th,Transport-moving,99,>50K
47.0,Private,11th,Other-service,35,<=50K
49.0,Private,HS-grad,Adm-clerical,37,<=50K
40.0,Private,11th,Adm-clerical,40,<=50K
62.0,Self-emp-not-inc,HS-grad,Adm-clerical,40,<=50K
49.0,Private,HS-grad,Exec-managerial,55,>50K
50.0,Private,Bachelors,Prof-specialty,50,>50K
31.0,Private,HS-grad,Transport-moving,40,<=50K
48.0,Local-gov,Masters,Prof-specialty,50,<=50K
24.0,Private,HS-grad,Craft-repair,40,<=50K
41.0,Others,HS-grad,Others,40,<=50K
37.0,Private,HS-grad,Machine-op-inspct,60,<=50K
45.0,Private,Bachelors,Exec-managerial,45,>50K
63.0,Others,HS-grad,Others,16,<=50K
36.0,Private,Masters,Exec-managerial,45,<=50K
45.0,Private,Bachelors,Exec-managerial,40,<=50K
41.0,Private,Bachelors,Sales,40,<=50K
26.0,Private,Assoc-acdm,Tech-support,20,<=50K
17.0,Private,11th,Sales,25,<=50K
27.0,Private,HS-grad,Other-service,36,<=50K
43.0,Private,HS-grad,Machine-op-inspct,65,<=50K
35.0,Private,HS-grad,Transport-moving,55,<=50K
38.0,Private,Bachelors,Adm-clerical,40,<=50K
26.0,Private,HS-grad,Machine-op-inspct,40,<=50K
28.0,Private,Some-college,Exec-managerial,40,<=50K
38.0,Private,Bachelors,Prof-specialty,24,>50K
36.0,Private,11th,Transport-moving,40,<=50K
33.0,Private,HS-grad,Adm-clerical,40,>50K
19.0,Private,HS-grad,Handlers-cleaners,70,<=50K
22.0,Others,Assoc-acdm,Others,25,<=50K
42.0,Federal-gov,10th,Adm-clerical,40,<=50K
50.0,Private,10th,Transport-moving,40,>50K
30.0,Private,HS-grad,Handlers-cleaners,30,<=50K
37.0,State-gov,Some-college,Prof-specialty,40,<=50K
54.0,Self-emp-inc,Prof-school,Prof-specialty,40,>50K
52.0,Self-emp-inc,Bachelors,Exec-managerial,40,<=50K
33.0,Private,HS-grad,Craft-repair,40,<=50K
25.0,Private,Some-college,Tech-support,40,<=50K
24.0,Private,Bachelors,Sales,45,<=50K
26.0,Private,Assoc-voc,Adm-clerical,40,<=50K
39.0,Private,HS-grad,Adm-clerical,40,>50K
59.0,Private,HS-grad,Other-service,40,<=50K
29.0,Private,Some-college,Adm-clerical,40,<=50K
47.0,Private,11th,Other-service,45,<=50K
23.0,Others,Some-college,Others,35,<=50K
64.0,Self-emp-inc,HS-grad,Transport-moving,50,<=50K
21.0,Private,HS-grad,Other-service,20,<=50K
32.0,Private,Some-college,Adm-clerical,40,>50K
26.0,Private,HS-grad,Exec-managerial,37,<=50K
19.0,Others,Some-college,Others,20,<=50K
62.0,Self-emp-not-inc,Masters,Prof-specialty,40,<=50K
32.0,Private,Bachelors,Craft-repair,55,>50K
75.0,Others,10th,Others,5,<=50K
45.0,Self-emp-not-inc,HS-grad,Exec-managerial,60,<=50K
31.0,Private,Bachelors,Exec-managerial,50,>50K
32.0,Private,HS-grad,Adm-clerical,40,<=50K
24.0,Private,Bachelors,Sales,40,<=50K
25.0,Private,Bachelors,Sales,40,<=50K
41.0,Self-emp-not-inc,HS-grad,Exec-managerial,60,<=50K
18.0,Private,Some-college,Sales,20,<=50K
44.0,Private,Doctorate,Prof-specialty,55,>50K
40.0,Private,Some-college,Exec-managerial,50,<=50K
27.0,Private,Bachelors,Prof-specialty,40,<=50K
23.0,Private,Bachelors,Adm-clerical,40,<=50K
21.0,Private,Some-college,Adm-clerical,40,<=50K
37.0,State-gov,HS-grad,Transport-moving,40,<=50K
65.0,Self-emp-not-inc,HS-grad,Farming-fishing,48,<=50K
43.0,Federal-gov,Masters,Prof-specialty,40,>50K
45.0,Private,HS-grad,Adm-clerical,44,<=50K
24.0,State-gov,Bachelors,Exec-managerial,40,<=50K
24.0,Private,Some-college,Machine-op-inspct,42,<=50K
19.0,Local-gov,Some-college,Protective-serv,35,<=50K
37.0,Private,Bachelors,Prof-specialty,65,>50K
24.0,Private,HS-grad,Adm-clerical,35,<=50K
34.0,Private,Some-college,Machine-op-inspct,40,<=50K
50.0,State-gov,HS-grad,Other-service,39,<=50K
36.0,Private,HS-grad,Craft-repair,40,<=50K
39.0,Private,Bachelors,Sales,60,<=50K
44.0,Self-emp-not-inc,7th-8th,Craft-repair,38,<=50K
45.0,State-gov,HS-grad,Other-service,40,<=50K
32.0,State-gov,11th,Protective-serv,40,<=50K
47.0,Federal-gov,Masters,Exec-managerial,40,>50K
50.0,Private,HS-grad,Machine-op-inspct,40,<=50K
32.0,Private,Assoc-voc,Other-service,40,<=50K
19.0,Private,HS-grad,Handlers-cleaners,40,<=50K
19.0,Others,Some-college,Others,20,<=50K
28.0,State-gov,Masters,Prof-specialty,10,<=50K
28.0,Private,HS-grad,Sales,50,<=50K
39.0,Federal-gov,Masters,Prof-specialty,40,>50K
21.0,Private,Some-college,Other-service,40,<=50K
73.0,Self-emp-not-inc,Some-college,Farming-fishing,75,<=50K
39.0,Private,7th-8th,Other-service,40,<=50K
25.0,Private,Some-college,Machine-op-inspct,40,<=50K
31.0,Private,Some-college,Sales,20,<=50K
51.0,Private,Some-college,Sales,32,<=50K
39.0,Private,Bachelors,Adm-clerical,28,<=50K
31.0,Private,Bachelors,Handlers-cleaners,40,<=50K
21.0,Private,Some-college,Sales,17,<=50K
46.0,Private,Bachelors,Exec-managerial,50,>50K
73.0,Private,HS-grad,Exec-managerial,35,<=50K
41.0,Private,HS-grad,Craft-repair,40,<=50K
20.0,Private,HS-grad,Transport-moving,40,<=50K
27.0,Private,Assoc-acdm,Other-service,30,<=50K
24.0,Private,Bachelors,Prof-specialty,35,<=50K
20.0,Private,Some-college,Craft-repair,40,<=50K
39.0,Private,Assoc-voc,Machine-op-inspct,40,<=50K
27.0,Private,Bachelors,Handlers-cleaners,28,<=50K
33.0,Private,11th,Sales,60,<=50K
33.0,Private,HS-grad,Handlers-cleaners,40,<=50K
36.0,State-gov,9th,Craft-repair,40,<=50K
55.0,Private,Some-college,Exec-managerial,36,<=50K
19.0,Private,Some-college,Machine-op-inspct,40,<=50K
35.0,Private,HS-grad,Exec-managerial,60,<=50K
62.0,State-gov,Prof-school,Prof-specialty,35,<=50K
33.0,Self-emp-not-inc,Some-college,Craft-repair,40,>50K
39.0,Private,9th,Craft-repair,55,<=50K
36.0,Local-gov,Some-college,Tech-support,40,<=50K
41.0,Private,Bachelors,Adm-clerical,33,<=50K
39.0,Self-emp-not-inc,HS-grad,Craft-repair,60,<=50K
38.0,Others,HS-grad,Others,10,>50K
18.0,Private,HS-grad,Adm-clerical,10,<=50K
61.0,Private,Some-college,Exec-managerial,45,>50K
20.0,Federal-gov,Assoc-voc,Adm-clerical,36,<=50K
35.0,Self-emp-not-inc,HS-grad,Transport-moving,65,>50K
27.0,Private,HS-grad,Machine-op-inspct,40,<=50K
66.0,Private,10th,Other-service,38,<=50K
